"","ASV","CAZy"
"1","00006f0784f7dbb2f162408abb6da629",105.083333333333
"2","000638af60bd132633f2e7b5c746a0d8",23.1774193548387
"3","00078eea5acae7c26622dc5327e05c24",28.1904761904762
"4","000c3ef2a4ff469d6650dc771f6e7b64",22.0794392523364
"5","000ef9e84697a2df734688df5a6a5631",22.1878787878788
"6","000fee4cb541f41f038907db63a655b0",22.4453333333333
"7","0014190ab4bbee9c985ea1f7fc5e6116",57
"8","00180b3b3075e3ac19806329a5aa8531",56
"9","00191f378cb9d906eefaeae238aa81f3",110.8
"10","001a9095e7dd47f1be0dd1e6a944c101",20
"11","00232f374cfc930f3fffbaef0d0c6d80",31.6666666666667
"12","0024c91a6d0fd76e183c02d24c15cee3",28.3684210526316
"13","0033dfd4c569d1a89b708d499e54e5f2",93
"14","0033fd678644b06b9ba9a2647ac5a1e4",22.1266968325792
"15","00397e6979ae7e321075683c6f09f6d1",34.5
"16","003ccf5d8cd01e56847e535955981a73",22.38
"17","003f61d658933af5a6ad6bb18c659aa9",27
"18","004339415ebc19ebb362f7acfb981bcc",13.4
"19","0046215c0c4cb48893d0c597ef0938a5",19.3333333333333
"20","00482e8b5da0472ec7985b0cd7ca6ba6",57.3333333333333
"21","004ce69e7df6103a557ce200d9311e54",21.75
"22","004df6318adef99fc6c11b0600617b8f",112.016393442623
"23","00591bf8cb96e6c17ada3e4463cdc8c5",40
"24","00655ca58ca5f9d8dca45a5d0fa24883",40.8571428571429
"25","0066b20e3e8426919f628df12b8e7ef7",23
"26","00684d545956265f3098ceee73e0d63d",6.5
"27","006900af0aacc2afcaa54e83c8f86414",45.1428571428571
"28","006a3787d56e6886ca45f7df5534a726",18
"29","006af3e72e8a7ea02a85d386b4858b74",40
"30","006dfea45aa57ae16e87450cd029fab8",19.3333333333333
"31","006eff94edac6e9d0a59406157ed27ba",71
"32","006f13cfdb5335c7be74d99a6c1c9845",109.015151515152
"33","006f60193d0a302717dc1e32901335fd",116
"34","0070f3b300214879f818e520326f67e1",85.7777777777778
"35","0072cb4fd63c173a6344ee6dd0144ce8",21.9428571428571
"36","007349b69eb6295231660808d8e8e96c",23.6630136986301
"37","007d12bd8cd5c8cbbba0ea542d2aa530",47.7777777777778
"38","007e0a04dc5072d7809da524184fa063",40
"39","0089b857bd40efe42060dd36864f6053",69.0952380952381
"40","008c133fdfe19c63729be80d2a7e6f4f",17
"41","0091a6cbce08d89066e0f1b0c1d68cf4",189.5
"42","009257b156ab4a9dd2f0b0dd33100b7e",46
"43","0093df8a35cb506a657a957142e7fdee",75.25
"44","00966f2b8afe3dc61b3bebf8c001ef7e",23.9461756373938
"45","009692a5bc25f23277efeed124ac2704",79.6666666666667
"46","009907674cc378427262036fe33b09a8",34.4787234042553
"47","009a1b84892ad192f07c8c2fad6014c1",7.8
"48","00a040d60ede5a90d5799805b523ac58",74
"49","00a068aa77a1b2f48e0309a0014eaec9",21
"50","00a1474d857dbfc288a6d10eee97bff1",104.933333333333
"51","00a175d94c48671c1723fcf07b2d4fac",17
"52","00a1ae2cd6aa84ea5d096ef327c91aff",42.5
"53","00a2c088572434bc9f2cc1c7ba73bbb5",79.5245901639344
"54","00a5582b6023ce72de2b05a293f8ec5a",34.7640449438202
"55","00a7978a77d6bd496518136bea3f4a75",51
"56","00a8b72ad978337d22d3da88c7e98ee2",33.1111111111111
"57","00aacbb5fa49e938f61abca2e915e279",19
"58","00ad9b0a9ae49e27504469918027c14f",13
"59","00adbd3018bedc7c57ea34c373a553f6",44.3333333333333
"60","00b2d9dfa81f1f1b676bdc936155206e",25
"61","00b4d47131db381f208765eab9ed293f",47
"62","00ba21fec33d16e84f471dd58b5c6672",23.6945945945946
"63","00c08b7c44a2db5b477d41c45a63cb47",18
"64","00c4c1c65d8669ed9f07abe149f9a01d",10.6153846153846
"65","00c96ae34075dfaf904729eb196789a9",50
"66","00cdcf69503ef9e32b14abd45c6acc42",48.8571428571429
"67","00d0fbe841bbb55d7eff28745fcd877f",34.4787234042553
"68","00d11ce6e005c25ec185eac34f10137d",9.11111111111111
"69","00d614592cfb0a84e590ac0c8a11fbae",26.5454545454545
"70","00d758e2830dfcde3b6ef6e97749efd6",57.25
"71","00e6c13fe86364a5084987093afa1916",31.7142857142857
"72","00e786013bef0744586482eb58b4630a",53
"73","00e809680b0b79d027119d9517bbf9cb",9.06666666666667
"74","00e8e62317d01db457def8b6c72031d7",23.0555555555556
"75","00ea24154f58f05f38011a877f778acf",19
"76","00f00c6f2699d7b334f1e21eaf639449",23.271186440678
"77","00f1d84cf7aa5bab9820a2c0beef7927",26
"78","00f1e1d2bfc532fbff518c254c3d8de1",31.7142857142857
"79","00f2a78cb5b97bcf6d93e1700604f801",22.1313131313131
"80","00f5de4f108b6bc7d510b873600f1446",56
"81","00f6d65adfc74777c56b90a8b1aabc83",23.3333333333333
"82","00f96ba9a04f94e62cdd1310c8f7952f",22.3247863247863
"83","00fa711f0a437815895e1b4cc38dc1dc",42.6666666666667
"84","00fb1f5a7e1caba3d6df3a526104cdf7",114.642857142857
"85","00fdd80f6e049d3ed9af4e82b7d8f473",37.875
"86","00fe402cbc8ee9f0668cf15cc6645bc6",19.3488372093023
"87","00ffa335069729eb54b60245f8f3440a",60.3333333333333
"88","010041f0d380820db6f2a52d4f266960",137
"89","010882346d9a805877758dc0855b035a",22.1800947867299
"90","010a5db53efbf38c834d9058e4aa445a",24.5
"91","010ba11b782424481e04a6e11b960ab8",237.5
"92","010de82140e24b51396d1c60a6be5c94",24.1666666666667
"93","01135a8b7d059a0e1b62da2b68f0bc1d",30
"94","011375db47b436364b3abed52a3d06ab",20.875
"95","01147872aeb2899aafc9a673a5d43206",32
"96","0119e17c6476577ef1c32220a00ad6d6",9.11111111111111
"97","011bce143193e1f2b407acfedf875fb8",51.3333333333333
"98","011c341f15db9c5617f0dc390542317e",48.4
"99","011cda0a99233905e5739f895057776f",104.666666666667
"100","012054e3f62502aff7f455e1592ea87f",19.3333333333333
"101","012528c0cc858a5a753f829108ed5c88",20
"102","0128ea81e7b5d76d73924ac3862e0aff",26.5
"103","0131c1c8d12aaf82a92197b684c6e232",67
"104","01321e6afb25ac6f0f43792c1bbc4d68",40.8571428571429
"105","013270cae8765ebaf9259c1175ede5a0",45.1428571428571
"106","01374bc6d0d0393dff9aa62a99813516",11.1304347826087
"107","01379e1c65e8043614b5c5276fea2ff1",68.1240875912409
"108","01398067b1d323b7f992a6764fa69e97",79
"109","013bda2a40c891ccd1db50c2fb8fc712",41.5
"110","013fff9976f068fcbdc75e7519272127",30
"111","0141b9badfa10323bf0f23fbef6c6629",91.2112676056338
"112","0141e8fa8eeb0e4ce0e0a3254ba75fd9",29
"113","0143a8b9e28ae465ae7b8f11b40d0ea1",26
"114","0143b53694fead05a4e68a94668cfb24",111.5
"115","0144252f311996485abcc13abf919783",42
"116","0144485b785a64eeca72b0d3a32475fd",24.1078167115903
"117","01476138c4bf8b3a9d790872efe72950",83.6470588235294
"118","01478f4e6b26db6af711724347aa141b",27.75
"119","0147ec8ecfa2337ba8eb662f5d19121a",56
"120","014b67ec3e21e921889d563b4c0be1bc",13.4
