65 GCA_012932795.1_ASM1293279v1
126 GCA_013110155.1_ASM1311015v1
126 GCA_013106855.1_ASM1310685v1
36 GCA_008638105.1_ASM863810v1
126 GCA_013110225.1_ASM1311022v1
126 GCA_013109615.1_ASM1310961v1
126 GCA_013109995.1_ASM1310999v1
126 GCA_013107425.1_ASM1310742v1
126 GCA_013108695.1_ASM1310869v1
126 GCA_013109385.1_ASM1310938v1
126 GCA_013109855.1_ASM1310985v1
126 GCA_013110095.1_ASM1311009v1
22 GCA_028102125.1_ASM2810212v1
51 GCA_001180185.1_CLC_assembled_contigs
126 GCA_013108645.1_ASM1310864v1
59 GCA_950065055.1_SRR3966130_bin.18_MetaWRAP_v1.3_MAG
126 GCA_013109295.1_ASM1310929v1
126 GCA_013179275.1_ASM1317927v1
126 GCA_013108215.1_ASM1310821v1
45 GCA_001180225.1_CLC_assembled_contigs
126 GCA_013108535.1_ASM1310853v1
64 GCA_025558165.1_ASM2555816v1
126 GCA_013107805.1_ASM1310780v1
126 GCA_013108165.1_ASM1310816v1
126 GCA_013106705.1_ASM1310670v1
126 GCA_013110185.1_ASM1311018v1
126 GCA_013179105.1_ASM1317910v1
126 GCA_013110415.1_ASM1311041v1
52 GCA_027251115.1_ASM2725111v1
126 GCA_013109025.1_ASM1310902v1
126 GCA_013110045.1_ASM1311004v1
126 GCA_013107215.1_ASM1310721v1
126 GCA_013109475.1_ASM1310947v1
34 GCA_028229605.1_ASM2822960v1
126 GCA_013108805.1_ASM1310880v1
126 GCA_013108345.1_ASM1310834v1
126 GCA_013109795.1_ASM1310979v1
126 GCA_013108895.1_ASM1310889v1
126 GCA_013108715.1_ASM1310871v1
38 GCA_028102645.1_ASM2810264v1
80 GCA_950072695.1_SRR3967700_bin.10_MetaWRAP_v1.3_MAG
72 GCA_950065435.1_SRR3968061_bin.7_MetaWRAP_v1.3_MAG
78 GCA_950058525.1_SRR3965592_bin.2_MetaWRAP_v1.3_MAG
79 GCA_950073845.1_SRR3961047_bin.5_MetaWRAP_v1.3_MAG
126 GCA_013179055.1_ASM1317905v1
126 GCA_013107955.1_ASM1310795v1
126 GCA_013110485.1_ASM1311048v1
58 GCA_913041885.1_ERR599044_bin.55_MetaBAT_v2.12.1_MAG
126 GCA_013107895.1_ASM1310789v1
126 GCA_013109525.1_ASM1310952v1
126 GCA_013106795.1_ASM1310679v1
111 GCA_030407165.1_ASM3040716v1
126 GCA_013107345.1_ASM1310734v1
126 GCA_013179195.1_ASM1317919v1
81 GCA_950067095.1_SRR3960576_bin.10_MetaWRAP_v1.3_MAG
126 GCA_013109175.1_ASM1310917v1
126 GCA_013106815.1_ASM1310681v1
126 GCA_013110545.1_ASM1311054v1
126 GCA_013107715.1_ASM1310771v1
42 GCA_028230015.1_ASM2823001v1
126 GCA_013107035.1_ASM1310703v1
126 GCA_013108955.1_ASM1310895v1
80 GCA_950058605.1_SRR3962773_bin.14_MetaWRAP_v1.3_MAG
126 GCA_013107605.1_ASM1310760v1
126 GCA_013109065.1_ASM1310906v1
126 GCA_013110005.1_ASM1311000v1
126 GCA_013179085.1_ASM1317908v1
126 GCA_013107255.1_ASM1310725v1
80 GCA_950069945.1_SRR3963449_bin.16_MetaWRAP_v1.3_MAG
126 GCA_013109435.1_ASM1310943v1
34 GCA_025994995.1_ASM2599499v1
126 GCA_013109315.1_ASM1310931v1
55 GCA_027249915.1_ASM2724991v1
126 GCA_013107575.1_ASM1310757v1
126 GCA_013108395.1_ASM1310839v1
35 GCA_028229535.1_ASM2822953v1
126 GCA_013110375.1_ASM1311037v1
126 GCA_013107125.1_ASM1310712v1
126 GCA_013108845.1_ASM1310884v1
73 GCA_950070115.1_SRR3968063_bin.11_MetaWRAP_v1.3_MAG
126 GCA_013109905.1_ASM1310990v1
88 GCA_950074495.1_SRR3962680_bin.4_MetaWRAP_v1.3_MAG
126 GCA_013179235.1_ASM1317923v1
126 GCA_013108255.1_ASM1310825v1
42 GCA_950068335.1_SRR3967319_bin.29_MetaWRAP_v1.3_MAG
126 GCA_013109685.1_ASM1310968v1
46 GCA_008373285.1_ASM837328v1
40 GCA_028102075.1_ASM2810207v1
126 GCA_013107845.1_ASM1310784v1
126 GCA_013106745.1_ASM1310674v1
52 GCA_000384455.1_ASM38445v1
126 GCA_013107475.1_ASM1310747v1
126 GCA_013109215.1_ASM1310921v1
126 GCA_013107025.1_ASM1310702v1
126 GCA_013110275.1_ASM1311027v1
126 GCA_013109645.1_ASM1310964v1
126 GCA_013110105.1_ASM1311010v1
126 GCA_013179415.1_ASM1317941v1
126 GCA_013110495.1_ASM1311049v1
42 GCA_017880565.1_ASM1788056v1
126 GCA_013109805.1_ASM1310980v1
50 GCA_030754105.1_ASM3075410v1
126 GCA_013179335.1_ASM1317933v1
30 GCA_028102065.1_ASM2810206v1
126 GCA_013108135.1_ASM1310813v1
126 GCA_013107855.1_ASM1310785v1
126 GCA_013107385.1_ASM1310738v1
126 GCA_013179155.1_ASM1317915v1
45 GCA_950062755.1_SRR3961906_bin.14_MetaWRAP_v1.3_MAG
54 GCA_027249065.1_ASM2724906v1
54 GCA_000153525.1_ASM15352v1
126 GCA_013108995.1_ASM1310899v1
35 GCA_008638035.1_ASM863803v1
32 GCA_018608215.1_ASM1860821v1
126 GCA_013109915.1_ASM1310991v1
126 GCA_013108615.1_ASM1310861v1
126 GCA_013109755.1_ASM1310975v1
126 GCA_013107135.1_ASM1310713v1
126 GCA_013107245.1_ASM1310724v1
126 GCA_013179095.1_ASM1317909v1
126 GCA_013106695.1_ASM1310669v1
26 GCA_017880295.1_ASM1788029v1
126 GCA_013109425.1_ASM1310942v1
126 GCA_013107995.1_ASM1310799v1
126 GCA_015689585.1_ASM1568958v1
126 GCA_013107615.1_ASM1310761v1
126 GCA_013106915.1_ASM1310691v1
61 GCA_000213335.2_ASM21333v2
126 GCA_013179455.1_ASM1317945v1
126 GCA_013107685.1_ASM1310768v1
126 GCA_013108435.1_ASM1310843v1
126 GCA_013107905.1_ASM1310790v1
126 GCA_013108065.1_ASM1310806v1
126 GCA_013108745.1_ASM1310874v1
52 GCA_001179925.1_CLC_assembled_contigs
126 GCA_013108315.1_ASM1310831v1
34 GCA_028102245.1_ASM2810224v1
126 GCA_013179375.1_ASM1317937v1
51 GCA_001180105.1_CLC_assembled_contigs
126 GCA_013108905.1_ASM1310890v1
76 GCA_950075775.1_SRR3963982_bin.12_MetaWRAP_v1.3_MAG
126 GCA_013109125.1_ASM1310912v1
126 GCA_013107745.1_ASM1310774v1
51 GCA_902614165.1_AG-918-P15
126 GCA_013110515.1_ASM1311051v1
73 GCA_950075765.1_SRR3963804_bin.4_MetaWRAP_v1.3_MAG
126 GCA_013109575.1_ASM1310957v1
126 GCA_013107315.1_ASM1310731v1
